messages,label,sentiment_label
به فروشندهه گفتم از این بیسکوئیتا کاکائوییشو دارید، بيسکوئيت بغلیشو برداشت گفت بفرمایید. بفرمایید چیه مرد گنده؟ باید بگی مگه کوری,2020,Neutral
همش فک میکنم کروناهای ایران با حسرت به کروناهای کشورای دیگه نگا میکنن،بهشون میگن:بابا،اینا اصن مارو جدی نمیگیرن، هی با ما جوک می سازن,2020,Neutral
‏این خلطای توی گلو انقد ارزش داره نباید تف بشه باید دوباره قورتش بدی برگرده به چرخه,2020,Neutral
وضعیت ویروس کرونا تو ایران 😂😂😂,2020,Positive
"‏این وضعیت کرونا رو جدی بگیریم 
دستکش بپوشیم شبا قبل خواب ژل ضدعفونی کننده استفاده کنیم دستا مون رو خوب بشوریم بعد شیر گاز رو باز کنیم بخوابیم",2020,Neutral
"‏بزرگترین دروغی که انسان به خودش و اطرافیانش گفته همین جمله ""سحرخیز باش تا کامروا باشی"" عه
هر کی سحرخیز بوده هم اعصاب و حوصله نداشته هم دهنش بو میداده
تا ساعت ۱۲ بخوابید که کامروا شوید",2020,Neutral
ترافیک کلیه کلاس‌های آموزشی مجازی رایگان خواهد بود,2020,Neutral
‏دلایل استرسام اونقدر زیاد شده که دیگه نمیتونم از هم تفکیکشون کنم، فقط در این حد میدونم از صبح که بیدار میشم وظیفه دارم کلی استرس داشته باشم,2020,Neutral
"‏خانمه دستکش لاتکس دستش بود، نشست تو تاکسی، دستکشا رو دراورد، اسپری الکل زد، دوباره دستکش و پوشید
خود کرونا پشماش ریخته بود :))))",2020,Neutral
"‏خوبه بهونه ی اضاف بر ""چرا بو سیگار میدی"" ""راننده تاکسی کشید بو گرفتم ""
""چرا بو الکل میدی"" ""از ترس کرونا هی الکل میزنم به خودم"" هم اضاف شد",2020,Neutral
"تمدید محدودیت سفر ایرانیان به آمریکا
",2020,Neutral
