Word,Count
به,2205
فروشندهه,1
گفتم,166
از,2190
این,1079
بیسکوئیتا,1
کاکائوییشو,1
دارید،,1
بيسکوئيت,1
بغلیشو,1
برداشت,10
گفت,304
بفرمایید,7
.,1956
چیه,40
مرد,34
گنده؟,1
باید,244
بگی,19
مگه,33
کوری,2
همش,36
فک,37
میکنم,122
کروناهای,2
ایران,137
با,1132
حسرت,11
کشورای,2
دیگه,317
نگا,2
میکنن،بهشون,1
میگن,97
:,1282
بابا،اینا,1
اصن,12
مارو,20
جدی,48
نمیگیرن،,2
هی,39
ما,382
جوک,3
می,141
سازن,1
‏این,53
خلطای,1
توی,127
گلو,5
انقد,29
ارزش,15
داره,256
نباید,20
تف,6
بشه,92
دوباره,46
قورتش,1
بدی,25
برگرده,8
چرخه,5
وضعیت,92
ویروس,253
کرونا,1151
تو,1083
😂😂😂,24
رو,1342
بگیریم,15
دستکش,30
بپوشیم,1
شبا,13
قبل,106
خواب,64
ژل,13
ضدعفونی,50
کننده,31
استفاده,77
کنیم,106
دستا,3
مون,12
خوب,86
بشوریم,8
بعد,383
شیر,13
گاز,18
باز,118
بخوابیم,3
‏بزرگترین,6
دروغی,1
که,2070
انسان,35
خودش,68
و,2832
اطرافیانش,2
گفته,60
همین,70
جمله,19
``,155
سحرخیز,4
باش,15
تا,677
کامروا,4
باشی,28
'',170
عه,5
هر,250
کی,53
بوده,69
هم,672
اعصاب,9
حوصله,7
نداشته,25
دهنش,2
بو,13
میداده,3
ساعت,213
۱۲,21
بخوابید,2
شوید,3
ترافیک,26
کلیه,9
کلاس‌های,5
آموزشی,11
مجازی,43
رایگان,15
خواهد,61
بود,380
‏دلایل,1
استرسام,1
اونقدر,6
زیاد,33
شده,426
نمیتونم,15
تفکیکشون,1
کنم،,9
فقط,218
در,1501
حد,13
میدونم,9
صبح,113
بیدار,66
میشم,19
وظیفه,6
دارم,110
کلی,29
استرس,23
داشته,87
باشم,17
‏خانمه,1
لاتکس,1
دستش,17
بود،,24
نشست,8
تاکسی،,1
دستکشا,1
دراورد،,1
اسپری,5
الکل,92
زد،,2
پوشید,1
خود,121
پشماش,7
ریخته,16
),1925
‏خوبه,1
بهونه,8
ی,113
اضاف,2
بر,161
چرا,142
سیگار,39
میدی,20
راننده,19
تاکسی,9
کشید,11
گرفتم,31
ترس,31
میزنم,19
خودم,62
شد,436
تمدید,19
محدودیت,12
سفر,36
ایرانیان,6
آمریکا,42
حالی,17
بایرن,2
مونیخ,2
حساب,21
۶-۰,1
هوفنهایم,1
جلو,43
هواداران,2
تیم,29
حرامزاده,1
خواندن,3
دیتمار,1
هوپ،,1
مالک,2
باشگاه,30
هوفنهایم،,1
شرایط,50
را,365
جایی,21
رساندند,1
بازی,75
متوقف,24
شود,50
!,653
سرمربی،,1
بازیکنان,4
مدیران,6
شعارهای,1
هوادارانشان,1
شدت,5
عصبانی,15
هستند,37
روزنامه,6
الوطن,1
قطر,7
مدعی,4
شد؛,3
لیگ,30
قهرمانان,8
آسیا,7
آستانه,3
لغو,54
کامل,26
‏اگه,38
پا,39
میشی,8
تَه,1
گلوت,1
یجوری,15
نیس,23
",",21
نیستی,6
کرونا؛,5
کاشان,2
مرحله,32
هشدار,23
قرار,84
گرفت,62
توجه,44
افزایش,39
موارد,33
بروز,5
بیماری,118
کووید,21
۱۹،,2
منطقه,19
گرفته,60
است,287
دکتر,31
جان,93
بابایی،,1
معاون,12
درمان,47
وزارت,55
بهداشت,88
نامه‌ای,2
دانشگاه‌های,3
علوم,22
پزشکی,33
خواست،,1
اطلاع,33
بعدی,34
غیر,29
بیماران,103
اورژانسی،,1
مبتلا,127
پذیرش,12
کنند,28
‏قیمتای,1
بلیط,3
همواپیما,1
دیدم,94
ارزون,5
تصمیم,25
بگیرم,20
کل,41
آسمون,6
یه,836
دور,52
بزنم,39
برگردم,6
خونه,292
‏دلم,12
ميخواد,3
خوراكيم,1
بيفته,1
زمين,5
ورش,3
فوتش,1
كنم,11
تميز,1
شه,60
بخورمش،,1
ينى,1
كى,2
كرونا,43
ميره,7
اين,42
حساى,1
خوبو,1
تجربه,9
‏اگر,7
خواهید,1
خدای,8
ناکرده,2
نشوید،,1
۷۰,8
ثانیه,20
صحبتهای,1
فوق,11
العاده,8
مفید,2
درباره,24
نحوه,12
مقابله,52
گوش,25
کنید,93
اشتراک,1
بگذارید,2
یک,247
راهکار,5
ساده,15
همه,291
آن,49
غافلیم,1
بزاق,2
دهان,4
تحریک,1
فراخوان,2
سازمان,36
نظام,3
برای,378
جذب,3
نیرو,3
مراکز,26
درمانی,15
مبتلایانِ,1
مقررات,4
جدید,131
پمپ,6
بنزین‌ها,2
🔴همه,2
پروازهای,17
فرودگاه,18
گیلان,32
پرواز,13
های,247
امروز,136
(,181
یکشنبه,2
بین,65
المللی,2
سردار,2
جنگل,4
رشت,11
‏وارد,1
داروخونه‌ها,1
می‌شی,1
کاغذ,7
زدن,59
ماسک،,3
دستکش،,1
الکل،,2
کلا,32
چیزی,84
نمردن,1
ضروریه،,1
نداریم،,3
لطفا,27
سوال,19
نکنید,21
اعلام,116
زمان,50
مجدد,3
ثبت,21
نام,29
کنکور,13
سراسری,9
‎کرونا,16
کم,88
مصیبتی,2
آلودگی,8
هوای,14
تهران,109
بهش,112
اضافه,26
شد😷,1
رییس,10
انستیتو,2
پاستور,2
*,44
عصر,14
‏آنقدر,1
روی,76
کتاب‌ها,1
ریخت,12
کلمات,7
رقص,37
درآمدند,1
فشار,15
قرنطینه,433
اکساتونو,1
برمی‌گردونه,1
سادگی,2
میشه,255
نشد,19
تهش,12
باعث,50
واتسپ,1
استوری,24
بذاریم,6
ببینید,30
وزیر,49
🔹از,12
ورزش,15
خواسته,2
بودیم,27
تمام,69
بازی‌های,8
کند,22
🔹در,3
بدبینانه‌ترین,1
حالت,29
خرداد,10
درگیر,12
هستیم,27
زالی,1
فرمانده,5
ستاد,34
استان,77
استاندار,12
خوزستان,21
قرائت,1
اطلاعیه‌ای,5
مهم,23
حضور,17
رسانه‌ها،,1
خواستار,3
درخانه,4
ماندن,3
مردم,156
طی,14
دوهفته‌,1
جاری,4
دو,154
هفته‌,1
حیاتی,3
نامید،,1
‏روز,8
ششم,2
تسلا,1
اون,319
ماشینه,2
سال,312
2008,1
فرستاد,3
فضا،,1
نوشت,9
Tesla,1
made,1
on,2
earth,1
by,2
humans,1
?,4
کرد,248
آدم,62
فضایی‌ها,1
انگلیسی,17
بلدن,2
براشون,12
مهمه؟,1
تعداد,49
مبتلایان,45
۹۸۷,1
نفر,325
یافت,8
×,29
خبرنگاران,5
جوان,10
عملیات,6
سرکوب,1
توسط,28
یگان,2
ویژه,20
ضد,34
عفونی,22
کردن,161
خیابان,6
شهر,74
خودروهای,19
آمار,31
تفکیک,8
استانی,2
بوشهر,21
زنجان,14
تاکنون,18
مورد,73
مثبتی,2
مشاهده,3
نشده,28
ارمنستان,2
۳۲,1
ایرانی,66
‏به,32
بابام,125
کوید-۱۹,1
گرفتم،,2
بیشتر,73
تلاش,16
کن,88
۲۰,25
بگیری,17
دانشگاه,52
گلستان,14
دقایقی,1
پیش,96
خبری,16
خودتان,1
بنزین,16
نزنید،,1
پول,69
زور,13
ندهید,2
بدلیل,8
شیوع,80
روند,17
سوختگیری,1
اپراتورها,1
انجام,75
محله,5
خودجوش,1
اومدن,18
عابربانک,5
محل,14
میکنن,106
همدلی,1
همیاری👌⁦♥️⁩,1
۲۴ام,1
تشویق,5
هادی,3
نوروزی,19
یادمون,6
نره,14
حالا,98
اشتباه,19
سُرُم,1
میزدیم،سُرُم,1
تینجوری,1
سَر,1
بِکِشی،پرستاره,1
ریخت😂😂,2
بهبودیافته,1
هفته,98
همچنان,14
ناقل,8
تمهیدات,3
بانک,26
مرکزی,18
کاهش,30
مراجعات,2
حضوری,9
مردم/,1
سقف,13
انتقال,31
خاص,4
بهداشتی,22
کشور,201
شعب,1
دستگاه‌های,3
خودپرداز,5
صورت,48
موقت,7
مجاز,9
وجه,6
کارت,28
شتابی,1
درون,8
بانکی,6
طریق,14
درگاه‌های,1
اینترنتی,8
خودپردازها,2
مبلغ,5
سی,25
میلیون,49
ریال,7
شبانه‌,1
روز,272
مبدا,3
پنجاه,10
می‌یابد,2
امکان,26
تاریخ,25
انقضاء,4
کارت‌های,2
بدون,73
نیاز,26
مراجعه,12
مشتری,12
مدت,50
سه,97
ماه,177
بلامانع,5
نقدی,4
پنج,45
علایم,6
اولین,75
قربانی,10
کرمانشاه,13
رفتم,62
داروخونه,7
نه,153
ماسک,83
محلول,6
عفونی،,1
تنها,66
فکری,5
ذهنم,7
میرسه,13
اینه,92
برم,71
دور‌,1
سیم‌خاردار,1
بکشم,9
ویروسا,12
نیان,2
اگه,253
همینطور,7
مامانم,47
ادامه,61
پیدا,74
کنه،,12
جای,61
درصد,42
آبی,4
بدنم,11
هست,63
درجه,5
گیرایی,1
بالا,44
تازه‌ترین,2
رسمی,19
تلفات,8
جهان,50
توصیه,19
تلفظ,3
اسامی,2
سر,135
شقایق,1
تسمه,4
تایم,10
پاره,19
کرد😂😂,1
بسته,58
شدن,96
سفارت,5
اتریش,2
مراجعین,3
نظر,31
من,493
لیس,14
ضریح,2
الان,230
بریم,58
سنگ,24
قبر,9
زکریای,1
رازی,5
بزنیم,19
احتمال,28
بودن,81
بهبودیافتگان,4
حداقل,39
۱۰,29
چه,112
زمانی,15
دارد؟,2
تکثیر,2
‏امروز,18
واسه,170
دهمین,3
بار,106
دستمو,6
مایع,10
الکلی,13
شستم,5
یکی,205
ویروسای,3
پیک,11
آخره،,1
جمع,47
آخر,52
نباشه,11
‏علاقه,1
ایرانیا,17
شکم,7
بخور,18
اونجا,29
فهمید,8
٩٩,2
ماها,11
پزشک,10
روبه,2
میشیم,21
میپرسیم,1
چی,110
بخووووریم,1
نشیم,4
هیچکی,3
نمیپرسه,1
نخوریم,1
‏یه,53
مریضی,7
میگه,176
پوست,10
تخمه,9
هارو,23
بریز,6
زمین,42
جاروبرقی,6
بکش,9
صداش,13
لذت,16
ببر,6
دارم😁,1
⭕️,14
کرونایی,37
هرمزگان,11
وقتی,210
سرفه,45
میکنه😂,2
موزه,4
«,119
لوور,2
»,120
تعطیل,67
‏احتمالا,5
امشب,38
جمعی,10
ریش,9
سفیدان,1
قبیله,2
قریش,1
گل,16
شیرینی,9
برن,21
اینا,64
جهت,19
دلجویی,1
تشکر😂,1
فرد,21
مشکوک,15
مبادی,9
ورودی,35
ایلام,16
۱۴,16
حفظ,17
سلامت,18
شهروندان,14
مسافر,21
باشد,21
مشخص,17
نتیجه,18
آزمایش‌ها,2
می‌شود,44
📣,1
بازداشت,5
فردى,1
كه,135
اقدام,12
متعارفی,1
حرم,18
على,1
ابن,1
موسى,1
الرضا,1
ع,4
داده,70
کمیاب,2
بودنش,4
کالای,2
لاکچریه,1
کنار,37
دست،,1
عکسا,5
جا,52
بدیم,19
چينيا,2
گهى,1
خواستن,5
بخورن,3
قبلش,4
بايد,17
شوراى,1
امنيت,1
مطرح,2
كنن,9
راضى,1
ميتونن,1
كوفت,1
ريدن,2
زندگى,4
٨,4
ميليارد,1
ادم,18
يه,42
لقمه,3
نون,42
خفاش,27
پیست‌های,1
اسکی,1
اينها,1
گفتند,3
تست,47
كرونای,1
خانم,16
هاشون,10
مثبت,30
دولت,32
پی,25
واشنگتن,4
وضع,7
اضطراری,8
اعلام‌,1
ان,9
۷۱,3
شده‌اند,11
پست,6
انفجاری,2
وجود,43
دارد؛,1
ترامپ,21
پنهان,4
کاری,57
می‌کند,17
فهمیده,6
منتظریم,1
تابستون,8
بیاد,51
بره,59
خیلی,202
ذوق,10
زده,43
گرما,4
دوس,34
دارین,6
کولرو,1
بفروشیم,3
آرایشگاه‌های,1
تبریز,4
بهترین,38
روش,37
سلام,24
احوالپرسی,5
تماس,23
گرفتن,45
مقابل😂😂,1
خبر,59
خوش,26
‏وسط,2
خیابون,36
عطسه,22
میکنی؟,4
یهو,56
بیا,36
حمله,18
گازمون,2
بگیر,11
ایجاد,9
طواف,1
متوفیان,1
مطهر,3
رضوی,16
‏قابل,2
اونایی,27
معلما,3
میرن,31
کار,124
حقوق,11
مفت,3
میگیرن,20
نمکی,2
