Word,Count
پسره,88
واسه,579
دوست,532
دخترش,29
با,3696
گیتار,10
آواز,15
خونده,19
که,8155
آشتی,9
کنه,454
…بعد,2
من,2506
تابحال,4
جلو,161
زیدم,3
نزدم،,4
البته,85
زدن,211
بلد,63
نیستم,73
…بماند,1
دختر,334
هم,2364
ندارم,152
«,641
ای,362
خوشا,2
روزی,118
معشوق,3
دنگی,1
دونگی,1
حساب,104
کنیم,254
»,645
به,6645
ماشینم,22
تکیه,17
داده,216
بود,1524
خواستم,55
حالشو,6
بگیرم,84
گفتم,871
ماشین,241
خودته؟,2
گفت,1446
نه,706
کی,226
دیگه,1140
از,6674
این,3022
لگنا,1
سوار,73
میشه؟,25
آره,62
بابا,215
و,9789
پیاده,70
اومدم,84
خونه,784
:,3090
(,553
‏وقتی,47
تو,4157
جاده,63
های,608
شمال،,9
تتلو,23
وعلیشمس,1
گوش,133
میدید,20
ما,1290
درک،,1
هایده,17
مهستی,9
خجالت,40
بکشید,8
.,8693
ولی,1071
یروز,5
بالاخره,62
معلوم,49
میشه,824
هفتاد,19
درصد,100
بدن,166
منو,254
بجا,9
آب،,4
چایی,75
تشکیل,25
^,2
‏باید,8
یه,3887
کلاس,153
اینایی,60
میرن,89
بذارن,23
شما,631
فقط,806
رو,4955
قراره,96
یاد,202
بگیرید,49
خوانندگی,3
جزو,15
برنامه,121
ها,669
نیست,602
نخونید,9
‏ريميكس,1
ينى,2
ريدن,4
اهنگ,30
روش,115
هاى,38
مدرن,4
وقتی,948
مُردم,2
واسم,29
مجلس,18
ترحیمم,1
روضه,5
خون,50
نیارین,1
هادی,5
عاملو,1
بیارین,7
پشت,202
میکروفون,8
بگه,145
تمام,211
آهنگ,148
تیکه,41
کردی,101
دل,127
یادته؟,1
همون,274
آرش,7
😏,4
خیلی,912
باهاش,168
حال,285
اون,1126
موقع؟,1
امروز,381
۱۲,52
سال,923
انتشار,24
می‌گذره,9
!,2297
اساتیدی,2
کلاسا,6
۲٠,1
اسفند,50
تعطیل,93
میکنن,338
میگن,340
مدرسان,1
شریف,5
آدم,380
عاشق‌پیشه‌ای,1
بودم,349
تا,1930
اینستا,68
پیداش,17
کردم,464
دیدم,373
کپشن,12
زده,164
نباشی,11
دوستام,40
هستن,139
پس,285
رفتم,287
دنبال,127
رفیق,51
جای,244
عشق,105
مكالمه,2
تصويرى,1
دوتا,100
فسقلى,1
بى,15
زبون,23
😂,137
اتیکت,1
پرواز,31
ر,17
روی,273
چمدونشون,1
نمیکنن,31
اونایی,100
برچسب,5
ال,6
سی,63
دیشون,1
بدترن,2
همه,1001
ايراني,6
ميشينن,1
ي,20
غذاي,2
خفن,14
درست,291
ميكنن,25
بعد,1274
ميگن,27
ميدوني,5
اينو,10
بيرون,13
ميخورديم,3
چقدر,192
قيمتش,2
ميشد؟بعدش,1
نبوغ,1
اقتصادي,2
خودشون,118
ذوق,50
باگ,8
زندگی,462
همین,311
بس,36
گذر,17
ایام,41
پیرت,1
نمیکنه,93
...,638
استرس,84
فشار,52
زندگیه,10
نابودت,1
میکنه,505
اختراع,28
لباسشویی,7
باید,835
رخت,4
پهن,12
کن,337
برقی,10
کنن,273
کارشناسا,1
گفتن,156
تهران,215
هرروز,17
میلیمتر,3
نشست,25
اگه,959
طبقه,33
هفتم,7
کنم,505
۵۰سال,1
میریم,41
همکف،,1
خب,192
سن,70
زانوهام,1
بهتره,49
امان,9
دلِ,3
سیمین,4
بهبهانی،,2
چه,499
حالی,68
شعرو,2
نوشته؛,2
‏اونيكه,1
گفته,206
انسان,96
در,3272
دوران,65
پيرى,1
مبتلا,131
آلزايمر,1
ميشن,11
حتمن,8
جوون,25
نسل,36
حاضر,48
نديد,1
كه,518
سادگى,1
همو,31
فراموش,62
‏ما,48
زیدمون,2
چشاش,8
مشگی,1
آهنگا,4
درباره,59
چشه,5
رنگی,16
چش,11
گیرمون,2
اومد,295
شد,885
راجع,31
مشگیا,1
‏جای,3
خالی,76
بعضیا,51
انقد,101
بزرگه,16
داخلش,7
کرد,719
بیشتر,319
سنتون,4
بفهمین،,1
اما,278
جلوتر,13
نکنید,111
روز,774
حسرت,33
کودکی،,1
نوجوانی,6
جوانیِ,1
زندگی‌نکرده‌تون,1
می‌خورید,6
‏دختر,6
احمق,28
دوس,150
دارن,362
چون,390
ميخوان,4
ازش,180
سوءاستفاده,2
كنن,25
‏تو,91
پاساژ,7
دختره,147
لهجه,22
ی,343
انگلیسی,52
صدا,131
mother،,2
mother,3
برگشتم,37
ننه,28
اشو,4
ببینم،که,2
یهو,256
یک,792
سبیل,6
رفت,224
دستشو,26
گرفت,152
حالا,410
نگو,27
میگفته,7
``,588
نادر,6
'',691
راننده,74
نيسان,1
ابي,3
چراغ,27
قرمز,56
😃,2
‏متاسفانه,12
فرهنگ,36
کشور,273
مقابل,45
تهاجم,1
فرهنگی,16
مقاومت,20
پایینی,6
داره،,65
نود,21
قسمت,79
شب,327
برره,4
پخش,122
دو,535
زبان,80
رسمی,44
ممکلتو,1
تغییر,78
داد,346
+رزومه,1
ات,24
چیه؟,80
‏یکی,50
بزرگترین,39
مشکلات,48
رابطه,179
اینه‌که،,2
10درصد,1
چیزی,344
طرفمون,1
توقع,15
داریم,215
رو،,11
خودمون,115
انجام,203
نمیدیم,6
‏همسایه‌ها,1
پول,343
جمع,166
کردن,588
پمپ,9
خریدن,17
برای,1211
آب,213
تاثیر,40
نداره,266
بابا،,10
شیر,69
باز,341
می‌کنی,47
انگار,212
سد,3
شکسته,19
‏یه,142
راه,259
حل,60
پیدا,258
مقابله,55
تازه,169
عروس,26
دامادا,1
بشقاب,19
غذا,193
میخورن,33
آینه,27
بزرگ,130
جلوشون,4
خودشونو,22
میبینن,18
شرمنده,18
میشن,131
هیچوقت,124
سر,493
نیسان,13
آبی,36
پارک,55
درگیر,36
تکونی,42
هستیم,63
وضعیت,131
کادو,26
